,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,date_millesime
65,France,"From the warm 2019 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",,86,18.0,Burgundy,Chablis,,Roger Voss,@vossroger,Simonnet-Febvre 2021  Chablis,Chardonnay,Simonnet-Febvre,2021
66,France,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",,86,15.0,Burgundy,Mâcon-Milly Lamartine,,Roger Voss,@vossroger,Vignerons des Terres Secrètes 2021  Mâcon-Milly Lamartine,Chardonnay,Vignerons des Terres Secrètes,2021
179,France,"The impact of 50-year old vines is seen in the concentrated fruit, ripe and full,  in this wine. The flavors are of fresh apricots, edged with green apples and pink grapefruit, a combination that shows both richness and great freshness. The finish is a reminder of the fine acidity in 2010.",Les Vénérables Vieilles Vignes,88,37.0,Burgundy,Chablis,,Roger Voss,@vossroger,La Chablisienne 2012 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne,2012
193,France,"A citrus-dominated wine, lime and lemon giving a crisp intensity. There is a somewhat bitter toast element, but the acidity, the fresh fruits and the soft structure act as a counter-balance. Give it six months to a year. Screwcap.",,87,43.0,Burgundy,St.-Romain,,Roger Voss,@vossroger,Bertrand Ambroise 2012  St.-Romain,Chardonnay,Bertrand Ambroise,2012
307,France,"Rich and full in the mouth, packed with red fruits and black cherries. The wine is sweet, while keeping a tannic core. Drink next year.",Les Dames Huguettes,87,33.0,Burgundy,Côte de Nuits-Villages,,Roger Voss,@vossroger,Domaine Bertagna 2015 Les Dames Huguettes  (Côte de Nuits-Villages),Pinot Noir,Domaine Bertagna,2015
353,France,"This beautiful, rich wine has yellow fruits and is concentrated, tightly textured and conveys a ripe character. The touches of wood are just right, adding spice to the opulent fruitiness. A mineral texture gives some tightness to the aftertaste. Drink from 2024.",Le Montrachet,96,263.0,Burgundy,Montrachet,,Roger Voss,@vossroger,Louis Latour 2020 Le Montrachet  (Montrachet),Chardonnay,Louis Latour,2020
357,France,"Produced from vines more than 100 years old in the heart of the Clos de Vougeot vineyard, this is an impressive wine with a long future. The wood aging is already surrounded by ripe, intense black fruits. A fresher character comes from the bright acidity of the vintage, giving the wine a lift. The aftertaste is long and concentrated. Drink from 2024.",Vieilles Vignes,95,179.0,Burgundy,Clos de Vougeot,,Roger Voss,@vossroger,Château de la Tour 2019 Vieilles Vignes  (Clos de Vougeot),Pinot Noir,Château de la Tour,2019
359,France,"Up the slope above the Grand Cru of Le Montrachet, this vineyard once grew hemp (hence the name, cheneve). This poised wine is both stylish and rich, with good acidity allied to ripe apple and citrus fruits, cut through the mineral texture and promise a generous wine as it ages. Drink from 2024.",Les Chenevottes Premier Cru,95,67.0,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Philippe Colin 2020 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,Philippe Colin,2020
363,France,"This is an opulent wine from one of the fabled series of white Grand Crus. Along with generous yellow fruits and ripe citrus, it has weight and gravitas. Spice from the wood fills things out even more, giving the wine its balance, its intensity and its future. Drink from 2022.",,95,168.0,Burgundy,Criots-Bâtard-Montrachet,,Roger Voss,@vossroger,Louis Latour 2020  Criots-Bâtard-Montrachet,Chardonnay,Louis Latour,2020
462,France,"This big, ripe and fruity wine shows both the richness and the structure of the vintage, but never loses sight of balance. It's full of rich yellow fruits, green plums and citrus, but structured with refreshing acidity, a minerally texture and gentle hints of wood aging. Drink from 2019.",Blagny Premier Cru,92,62.0,Burgundy,Meursault,,Roger Voss,@vossroger,Henri de Villamont 2016 Blagny Premier Cru  (Meursault),Chardonnay,Henri de Villamont,2016
471,France,"Rich and opulent, this is a full-throated Pinot Noir. It has ripe berry flavors and a balancing acidity that supports a dense texture and underlay of firm tannins. While delicious now, this is a wine that will improve with aging so drink from 2020.",Les Chatelots Premier Cru,92,66.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Henri de Villamont 2016 Les Chatelots Premier Cru  (Chambolle-Musigny),Pinot Noir,Henri de Villamont,2016
472,France,"This wine is ripe, rich and full in the mouth, like a fruit salad of red cherries, plums and berries. Yet there's a more solid side—rounded tannins support the concentrated fruits, and touches of wood aging broaden the feel of this impressive wine. Drink from 2021.",Les Feusselottes Premier Cru,92,65.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Henri de Villamont 2016 Les Feusselottes Premier Cru  (Chambolle-Musigny),Pinot Noir,Henri de Villamont,2016
518,France,"From a walled vineyard once owned by the local bishop, this wine is structured and firm while also having great red cherry and berry fruit. It's one of a number of Premier Crus from this producer—and certainly the most expressive with its generous fruit and balanced tannins. Drink from 2022.",Le Clos l'Evêque Premier Cru,91,41.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaine Jeannin-Naltet 2020 Le Clos l'Evêque Premier Cru  (Mercurey),Pinot Noir,Domaine Jeannin-Naltet,2020
719,France,"This soft wine has a gentle texture and smooth white fruits. It is fruity and lightly perfumed. With its crisp edge of acidity, is totally ready to drink.",Grande Réserve du Président,85,13.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Cave de Viré 2021 Grande Réserve du Président  (Mâcon-Villages),Chardonnay,Cave de Viré,2021
732,France,"This is a soft and jammy wine with attractive ripe strawberry fruit and only the lightest structure. It is gentle, rounded and ready to drink.",Mont-Avril,85,17.0,Burgundy,Côte Chalonnaise,,Roger Voss,@vossroger,Domaine Michel Goubard 2020 Mont-Avril  (Côte Chalonnaise),Pinot Noir,Domaine Michel Goubard,2020
733,France,"This wine is extracted and tough. The acidity does come through to help out, although it still has a hard edge with some bitter toast. It will soften, leaving some perfumed fruit for the future.",,85,24.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Domaine Poulleau Père et Fils 2020  Chorey-lès-Beaune,Pinot Noir,Domaine Poulleau Père et Fils,2020
741,France,This light and fruity wine offers soft tannins and an earthy character. The wine comes mainly from Beaujolais with 15% of Pinot Noir from the Mâcon region. Drink now.,,85,12.0,Burgundy,Coteaux Bourguignons,,Roger Voss,@vossroger,Patriarche Père et Fils 2020  Coteaux Bourguignons,Pinot Noir-Gamay,Patriarche Père et Fils,2020
